CustomerName,CompanyAccountName,TowerName,TrackName
Home Depot,Home Depot,Foundation,THD Data
HSBC,HSBC,Collaboration,HSBC
HSBC Data,HSBC Data,Foundation,HSBC Data
Bank of America,Bank of America,Collaboration,BOA EV
SFNOC,SFNOC,Foundation,SFNOC
RIL,RIL,Non-CMS,RIL
Problem Management,Problem Management,Collaboration,Problem Management
BOA TP,BOA TP,Collaboration,BOA TP
GTM TP,GTM TP,Collaboration,GTM TP
HD Voice (Bgl),HD Voice (Bgl),Collaboration,HD Voice (Bgl)
SCNOC,SCNOC,Collaboration,SCNOC
Cybersecurity,Cybersecurity,Security,Cybersecurity
DC-ACI,DC-ACI,Security,DC-ACI
Infra,Infra,Security,Infra
SOC,SOC,Security,SOC
